track_name,track_number,track_popularity,explicit,artist_popularity,artist_followers,album_total_tracks,album_type,track_duration_min
mafhashmafhash,6,49,0,61,2649787,10,0,2.35
makan fi albak,8,51,0,61,2650667,10,0,2.83
matador,1,49,0,61,2650667,10,0,3.08
matrosh,2,43,0,61,2649787,10,0,2.17
mshmawgood,7,42,0,61,2652612,10,0,2.51
tefhaminish ghalat,4,43,0,61,2650667,10,0,2.72
Sacrifice,1,50,0,55,68465,1,2,3.3
shaklekmagnona,5,51,0,61,2652612,10,0,2.48
labubu,9,44,0,61,2649787,10,0,2.2
Don't u cry,1,53,0,58,72064,3,2,2.97
el makaan,3,43,0,61,2649787,10,0,2.79
faker bas nasy,10,47,0,61,2649787,10,0,3.12
Fish-Woman (POP Version),1,13,0,3,3,1,2,2.63
I Just Want a Kiss (Brazilian Axé Version),1,13,0,3,2,1,2,2.49
Glória Meu Senhor,4,15,0,5,21,12,0,3.83
Quero Lhe Dizer,1,15,0,5,21,12,0,4.53
She Walked Away (Guitar Ballad Version),1,14,0,6,4,1,2,3.71
Overstimulated,9,34,0,57,398681,17,0,3.13
Paranoia,11,34,0,57,398659,17,0,3.3
Running Cold,1,53,0,58,146944,1,2,3.01
Suckerpunch,16,31,0,57,398681,17,0,3.08
Trance,2,37,0,57,398681,17,0,3.12
under the mat,10,71,0,85,2789144,10,0,4.74
undressed,7,88,0,85,2795852,10,0,3.03
Unremember - Radio Mix,1,36,0,38,44378,1,2,2.81
we never dated,9,78,0,85,2795852,10,0,3.28
Weekend,1,44,0,38,60619,1,2,2.02
Letting Go,4,37,0,57,398642,17,0,3.39
Like You,1,35,0,23,13839,1,2,3.07
Monsoon,2,55,0,53,88544,10,0,2.84
Whisper to Me,13,32,0,57,398642,17,0,2.67
Wrong,10,33,0,57,398659,17,0,3.26
Hide my Tears,6,37,0,57,398642,17,0,2.64
I know,1,40,0,24,2256,1,2,3.25
i wish i knew how to quit you,3,78,0,85,2795852,10,0,3.87
I'm Nice Till I'm Not,1,40,0,25,8363,1,2,2.84
If I Disappear,14,36,0,57,398659,17,0,3.15
Insanium,15,34,0,57,398681,17,0,2.64
Is My Vision Scarred,5,44,0,57,398681,17,0,3.8
come closer,8,71,0,85,2789144,10,0,3.23
Crown,12,32,0,57,398642,17,0,2.91
crushing,1,76,0,85,2802094,10,0,3.45
dime,6,68,0,85,2795852,10,0,3.76
12 to 12,2,89,0,85,2795852,10,0,4.04
50 50,8,33,0,57,398642,17,0,3.0
After the Rain,17,33,0,57,398659,17,0,2.93
back to friends,4,91,0,85,2789144,10,0,3.31
Bad Reaction,2,21,0,17,134,4,2,2.74
Betray,7,34,0,57,398681,17,0,2.94
Bleed Me Dry,3,36,0,57,398681,17,0,3.16
Bloom,1,38,0,23,462,1,2,3.41
Boom,1,39,0,57,398659,17,0,2.85
canal street,5,73,0,85,2809275,10,0,5.04
Summer Haze,1,34,0,18,824,1,2,4.06
Jealous Type,1,81,1,86,34748949,1,2,2.72
You´re my Best - Pop,1,16,0,4,423,1,2,2.73
Secrets with Strangers,1,48,0,43,30470,2,2,3.59
Impressions,1,46,1,33,321,1,2,2.2
The Summer’s Here,1,14,0,5,5,1,2,3.0
the happy you were after,1,36,0,18,148,1,2,4.88
Make Believe,1,65,0,60,27567,1,2,3.08
Man I Need,1,95,0,88,1499215,3,2,3.06
MEN DONT CRY,12,15,1,5,156,14,0,3.88
Golden Hour,1,45,0,35,729,1,2,3.18
Southern Country Girl,1,49,0,32,3893,1,2,2.93
downtown,1,62,1,82,15702014,1,2,2.03
Fade,1,27,0,23,462,1,2,3.75
Flowers,1,30,0,13,27,1,2,3.24
Thats All I Do,1,12,1,2,10,1,2,2.98
I'm in Love,1,64,0,61,26095,1,2,2.63
I’m All In (Rock 80`s Version),1,14,0,4,8,1,2,3.8
goddamn,4,65,1,78,5643375,13,0,3.11
greece n' paris,1,38,1,25,2136,2,2,3.21
Hell At Night (feat. Ella Langley),1,76,0,79,2059774,1,2,2.98
Holy Water,1,73,0,80,34481381,1,2,2.49
CRAZY,2,50,0,38,805,9,0,3.9
Get Down,1,49,1,30,193,1,2,1.85
wgft (feat. Burna Boy),9,78,1,85,10342615,25,0,3.07
Nights We Won't Remember,1,11,0,2,940,4,2,2.93
PRAY,1,45,0,48,10272,3,2,3.14
Good To You,1,29,0,13,687,1,2,3.17
need u,1,48,0,46,7240,3,2,2.43
Clarity,1,53,0,45,2752,1,2,2.97
forever be mine (feat. Wizkid),1,64,1,85,10342615,1,2,2.88
Sunshine,2,42,1,29,11860,17,0,3.6
Take Me Thru Dere,5,69,1,84,11683338,24,0,2.71
The Subway,1,87,1,82,7310428,1,2,4.2
What Love Feels Like (feat. Nathan Nicholson),1,50,0,50,114271,1,2,3.35
Crazy,1,72,1,56,38082,1,2,2.71
Free Your Mind,1,26,0,34,35406,1,2,4.21
I Think I Like You Better When You’re Gone,10,80,1,72,1261419,12,0,2.38
Leave Me Alone,1,73,1,72,1262133,12,0,2.36
No 1 But U,1,32,0,20,1099,1,2,2.82
Is It a Crime,1,69,1,73,1178436,2,2,3.02
Hurt Me Most,1,41,0,27,3637,6,2,2.36
It Depends (feat. Bryson Tiller),1,79,1,87,28327351,1,2,4.53
Back in the Saddle,1,76,0,83,13397845,1,2,3.55
Which One (feat. Central Cee),1,83,1,95,103067383,1,2,2.81
WRONG,2,76,0,72,968416,2,2,2.95
